0.3281671697	457 91 326
0.3246667893	18 9627
0.3228178166	5773 86
0.3171165264	1035 3400
0.3169637352	414 95
0.3158899350	249 1304
0.3152863596	516 37
0.3152725573	1590 4543
0.3109346151	1139 831
0.3104871594	18 7954
0.3104610963	857 859
0.3049172061	521 26 18
0.3045464642	417 234
0.3044812334	3704 197
0.2982514359	3217 991
0.2969749142	1092 1144
0.2953316279	48 635
0.2908538896	1099 417
0.2904045479	108 90
0.2884974325	6646 174
0.2877861600	3213 2773
0.2873713820	4503 86
0.2872643060	18 12044
0.2805556771	144 271 30
0.2798277938	1885 1439
0.2777012069	1616 1829
0.2773099244	2495 174
0.2766610414	3728 383
0.2748295723	1035 3506
0.2743054938	3651 1590
0.2738275056	10864 86
0.2733540174	1590 669
0.2728662834	2826 340 1075
0.2723001417	897 2686
0.2716477000	28 4031 3577
0.2705352141	1515 39
0.2700997006	1651 376
0.2698420728	1075 151
0.2677028289	281 370
0.2676379475	32 3736
0.2644166300	831 86
0.2630157371	91 326 805
0.2609490552	585 39
0.2598082270	28 2014
0.2596515121	3599 3851
0.2539462315	3628 340
0.2509261746	32 3929 491
0.2489114266	3213 4070
0.2480141426	2193 18
0.2479221619	20 2715
0.2471183788	113 491 86
0.2455265551	4241 669 30
0.2443651053	105 91 326
0.2441308896	42 382 671
0.2437988185	4041 86
0.2415866231	121 281
0.2411297210	3674 275
0.2405071917	8070 18
0.2401896066	1357 417
0.2399270806	34 370
0.2388944237	2956 91
0.2377370611	1590 2356 39
0.2357199247	108 1150
0.2351325590	2446 174
0.2348393300	3840 890 1084 30
0.2344218675	42 1722
0.2343278736	18 1574
0.2336431085	3213 271
0.2328151595	32 3914 3525
0.2326265497	27 1692
0.2324830286	4052 2006
0.2313866125	3797 3705 30
0.2306133067	986 21
0.2294993531	93 592
0.2293680449	121 316
0.2285621916	3304 3501 275
0.2282387056	4058 179
0.2276951219	25 1371 18
0.2274392457	867 4621 30
0.2246594127	42 382 47 42 1889
0.2243582459	3025 433
0.2243417682	3213 3499
0.2235747171	611 91
0.2221596810	1304 101
0.2221283924	919 674
0.2214830516	1809 18
0.2203528684	879 5007
0.2199762019	2686 3587
0.2185986509	516 1092
